Date,Open,High,Low,Close*,Adj Close**,Volume
10/07/21,-0.25,0,-0.5,0,0,1357
10/06/21,0,0,-0.5,0,0,927
10/05/21,0,0,-1,0,0,742
10/04/21,0,0.25,-0.75,0,0,1264
10/01/21,0,0.25,0,0,0,675
09/30/21,0,0,0,0,0,862
09/29/21,0,0.25,0,0,0,-
09/28/21,0.25,0.5,0,0,0,2316
09/27/21,0.25,0.5,0,0,0,913
09/24/21,0.25,1,0,0,0,679
09/23/21,0,0.5,0,0,0,1652
09/22/21,0,0.25,0,0,0,1256
09/21/21,0,0,0,0,0,271
09/20/21,0,0.25,-0.25,0,0,282
09/17/21,0.25,0.5,0,0,0,885
09/16/21,0,0.5,0,0,0,177
09/15/21,0.25,0.25,0,0,0,331
09/14/21,0.5,0.75,0,0,0,383
09/13/21,0.25,0.25,0,0,0,404
09/10/21,0,0.5,0,0,0,254
09/09/21,0,0.25,0,0,0,525
09/08/21,0,2,0,0,0,192
09/07/21,0,0.25,-0.25,0,0,853
09/03/21,0,0,-0.5,0,0,902
09/02/21,0,0.25,-0.25,0,0,466
09/01/21,0,0,-0.25,0,0,485
08/31/21,0,0,0,0,0,815
08/30/21,0.25,0.75,-0.25,0,0,-
08/27/21,-0.25,0,-0.25,0,0,1057
08/26/21,0,0.5,-0.25,0,0,764
08/25/21,0,0,-0.25,0,0,921
08/24/21,-0.25,0,-0.5,0,0,1431
08/23/21,0,0,-0.5,0,0,967
08/20/21,0,0,-0.25,0,0,1061
08/19/21,0,0,0,0,0,1471
08/18/21,0,0.25,0,0,0,850
08/17/21,0,0.25,-0.25,0,0,384
08/16/21,0.25,0.25,0,0,0,660
08/13/21,0,0,0,0,0,646
08/12/21,0,0,-0.25,0,0,1379
08/11/21,0,0.75,0,0,0,381
08/10/21,0,0,0,0,0,406
08/09/21,0,0.25,-0.25,0,0,399
08/06/21,0,0.5,0,0,0,628
08/05/21,0,0,-0.25,0,0,610
08/04/21,0,0,-0.5,0,0,480
