Date,Open,High,Low,Close*,Adj Close**,Volume
11/17/22,92.8,92.88,89.54,89.78,89.78,29012
11/16/22,93.76,94.78,91.68,92.86,92.86,22376
11/15/22,92.53,95.75,91.53,93.86,93.86,30904
11/14/22,95.97,96.92,92.49,93.14,93.14,22959
11/11/22,93.27,96.92,93.27,95.99,95.99,23629
11/10/22,92.54,94.31,91.69,93.67,93.67,31486
11/09/22,95.01,95.69,92.3,92.65,92.65,26729
11/08/22,98,98.27,94.98,95.36,95.36,28901
11/07/22,97.78,99.56,96.7,97.92,97.92,22568
11/04/22,94.48,98.82,94.34,98.57,98.57,31256
11/03/22,95.66,95.94,94.16,94.67,94.67,21292
11/02/22,94.67,96.47,93.99,96.16,96.16,28689
11/01/22,92.8,95.55,92.36,94.65,94.65,21355
10/31/22,96,96,94.32,94.83,94.83,23096
10/28/22,96.78,96.89,95,95.77,95.77,12135
10/27/22,96.16,97.28,95.08,96.96,96.96,14677
10/26/22,93.25,96.19,92.04,95.69,95.69,15637
10/25/22,93.56,94.37,91.63,93.52,93.52,22553
10/24/22,93.61,94.44,91.21,93.26,93.26,28074
10/21/22,92.79,93.8,91.02,93.5,93.5,26861
10/20/22,92.51,94.77,91.92,92.38,92.38,40748
10/19/22,90.79,92.84,89.38,92.41,92.41,43364
10/18/22,92.02,92.65,88.77,90.03,90.03,40941
10/17/22,91.71,93.23,90.84,91.62,91.62,23783
10/14/22,94.75,95.11,91.27,91.63,91.63,29344
10/13/22,92.47,94.9,91.09,94.57,94.57,32826
10/12/22,93.69,95.17,91.58,92.45,92.45,29821
10/11/22,96.15,96.45,93.11,94.29,94.29,31431
10/10/22,98.7,98.76,95.62,96.19,96.19,24699
10/07/22,94.99,98.59,93.93,97.92,97.92,36871
10/06/22,93.83,95.01,92.73,94.42,94.42,26200
10/05/22,91.65,93.97,90.9,93.37,93.37,39563
10/04/22,88.89,92.39,88.69,91.8,91.8,38971
10/03/22,86.51,89.83,86.51,88.86,88.86,38251
09/30/22,88.56,89.52,87.85,87.96,87.96,33026
09/29/22,88.95,90.1,87.45,88.49,88.49,7456
09/28/22,85.83,89.49,84.27,89.32,89.32,9937
09/27/22,83.91,87.13,83.91,86.27,86.27,10008
09/26/22,86.72,87.66,83.63,84.06,84.06,14034
09/23/22,90.35,90.71,85.46,86.15,86.15,18951
09/22/22,89.92,92.8,89.29,90.46,90.46,22375
09/21/22,90.69,93.51,89.3,89.83,89.83,27621
09/20/22,91.97,93.02,89.8,90.62,90.62,24688
09/19/22,91.65,92.58,88.48,92,92,17627
09/16/22,90.65,92.64,90.22,91.35,91.35,20652
09/15/22,94.43,94.65,90.05,90.84,90.84,29483
09/14/22,93.49,95.81,91.95,94.1,94.1,30880
09/13/22,94.21,95.51,91.07,93.17,93.17,27762
09/12/22,92.3,95.17,91.21,94,94,22758
09/09/22,88.46,93.1,88.32,92.84,92.84,22448
09/08/22,87.64,89.83,87.23,89.15,89.15,21562
09/07/22,92.8,93.79,87.4,88,88,28966
09/06/22,93.09,96.99,92.28,92.83,92.83,34757
09/05/22,-,-,-,-,-,-
09/02/22,92,95.32,92,93.02,93.02,22869
09/01/22,94.78,95.66,91.81,92.36,92.36,22870
08/31/22,99.71,100.3,95.76,96.49,96.49,24672
08/30/22,105,105.37,97.67,99.31,99.31,7116
08/29/22,100.83,105.48,100.29,105.09,105.09,6048
08/26/22,99.88,101.17,98.14,100.99,100.99,14241
08/25/22,101.6,102.47,99.12,99.34,99.34,20704
08/24/22,100.16,102,99.07,101.22,101.22,24490
08/23/22,96.58,100.45,96.51,100.22,100.22,22624
08/22/22,95.66,97.25,92.36,96.48,96.48,26974
08/19/22,96.63,97.87,94.25,96.72,96.72,22212
08/18/22,93.18,97.41,93.05,96.59,96.59,21327
08/17/22,92.77,94.46,91.52,93.65,93.65,21011
08/16/22,93.64,95.95,91.72,92.34,92.34,22549
08/15/22,97.76,98.04,92.72,95.1,95.1,20714
