Date,Open,High,Low,Close,Adj Close,Volume
2021-07-27,0.013572,0.013593,0.013528,0.013572,0.013572,0
2021-07-28,0.013575,0.013632,0.013554,0.013567,0.013567,0
2021-07-29,0.013616,0.013699,0.013603,0.013617,0.013617,0
2021-07-30,0.013669,0.013733,0.013621,0.013670,0.013670,0
2021-08-02,0.013679,0.013763,0.013644,0.013682,0.013682,0
2021-08-03,0.013707,0.013740,0.013666,0.013706,0.013706,0
2021-08-04,0.013710,0.013751,0.013650,0.013710,0.013710,0
2021-08-05,0.013665,0.013702,0.013652,0.013665,0.013665,0
2021-08-06,0.013674,0.013702,0.013610,0.013676,0.013676,0
2021-08-09,0.013605,0.013633,0.013574,0.013605,0.013605,0
2021-08-10,0.013583,0.013607,0.013508,0.013583,0.013583,0
2021-08-11,0.013529,0.013572,0.013490,0.013528,0.013528,0
2021-08-12,0.013625,0.013638,0.013575,0.013624,0.013624,0
2021-08-13,0.013601,0.013671,0.013584,0.013598,0.013598,0
2021-08-16,0.013660,0.013663,0.013609,0.013671,0.013671,0
2021-08-17,0.013647,0.013647,0.013595,0.013646,0.013646,0
2021-08-18,0.013598,0.013637,0.013546,0.013588,0.013588,0
2021-08-19,0.013542,0.013543,0.013461,0.013542,0.013542,0
2021-08-20,0.013460,0.013522,0.013410,0.013463,0.013463,0
2021-08-23,0.013479,0.013529,0.013468,0.013478,0.013478,0
2021-08-24,0.013500,0.013569,0.013495,0.013499,0.013499,0
2021-08-25,0.013557,0.013581,0.013503,0.013557,0.013557,0
2021-08-26,0.013553,0.013570,0.013433,0.013556,0.013556,0
2021-08-27,0.013462,0.013601,0.013461,0.013465,0.013465,0
2021-08-30,0.013626,0.013641,0.013574,0.013624,0.013624,0
2021-08-31,0.013617,0.013666,0.013611,0.013621,0.013621,0
2021-09-01,0.013645,0.013723,0.013611,0.013648,0.013648,0
2021-09-02,0.013701,0.013762,0.013693,0.013702,0.013702,0
2021-09-03,0.013709,0.013783,0.013699,0.013697,0.013697,0
2021-09-06,0.013741,0.013741,0.013693,0.013742,0.013742,0
2021-09-07,0.013706,0.013719,0.013630,0.013705,0.013705,0
2021-09-08,0.013629,0.013662,0.013602,0.013631,0.013631,0
2021-09-09,0.013645,0.013735,0.013641,0.013653,0.013653,0
2021-09-10,0.013729,0.013762,0.013674,0.013725,0.013725,0
2021-09-13,0.013680,0.013764,0.013666,0.013681,0.013681,0
2021-09-14,0.013766,0.013780,0.013705,0.013766,0.013766,0
2021-09-15,0.013721,0.013807,0.013684,0.013721,0.013721,0
2021-09-16,0.013840,0.013844,0.013775,0.013843,0.013843,0
2021-09-17,0.013799,0.013806,0.013728,0.013798,0.013798,0
2021-09-20,0.013725,0.013741,0.013590,0.013735,0.013735,0
2021-09-21,0.013617,0.013704,0.013600,0.013631,0.013631,0
2021-09-22,0.013692,0.013779,0.013682,0.013698,0.013698,0
2021-09-23,0.013713,0.013781,0.013709,0.013714,0.013714,0
2021-09-24,0.013765,0.013770,0.013690,0.013760,0.013760,0
2021-09-27,0.013761,0.013811,0.013738,0.013756,0.013756,0
2021-09-28,0.013779,0.013815,0.013714,0.013777,0.013777,0
2021-09-29,0.013729,0.013776,0.013716,0.013729,0.013729,0
2021-09-30,0.013728,0.013781,0.013711,0.013728,0.013728,0
2021-10-01,0.013752,0.013769,0.013655,0.013752,0.013752,0
2021-10-04,0.013747,0.013814,0.013702,0.013747,0.013747,0
2021-10-05,0.013798,0.013837,0.013762,0.013797,0.013797,0
2021-10-06,0.013837,0.013840,0.013754,0.013833,0.013833,0
2021-10-07,0.013813,0.013951,0.013805,0.013813,0.013813,0
2021-10-08,0.013927,0.013963,0.013881,0.013931,0.013931,0
2021-10-11,0.013937,0.013977,0.013910,0.013937,0.013937,0
2021-10-12,0.013912,0.013946,0.013893,0.013921,0.013921,0
2021-10-13,0.013919,0.013945,0.013872,0.013919,0.013919,0
